condition,seed,mass_scale,friction_scale,damping_scale,episode_return,episode_length,terminated,truncated,x_displacement,y_displacement,forward_score
nominal,0,1.000000,1.000000,1.000000,2231.089161,1000,False,True,64.156421,2.914568,63.573507
nominal,1,1.000000,1.000000,1.000000,973.072222,459,True,False,26.932872,-1.377643,26.657343
nominal,2,1.000000,1.000000,1.000000,2253.864124,1000,False,True,65.307628,-2.536382,64.800352
nominal,3,1.000000,1.000000,1.000000,2284.965652,1000,False,True,66.847954,2.633204,66.321313
nominal,4,1.000000,1.000000,1.000000,2207.051246,1000,False,True,62.957436,0.980840,62.761268
nominal,5,1.000000,1.000000,1.000000,2235.492824,1000,False,True,64.386402,-1.596188,64.067164
nominal,6,1.000000,1.000000,1.000000,2200.784735,1000,False,True,62.649463,0.937416,62.461980
nominal,7,1.000000,1.000000,1.000000,2155.570983,1000,False,True,60.408886,-1.858352,60.037215
nominal,8,1.000000,1.000000,1.000000,343.097251,190,True,False,8.175523,-4.055283,7.364467
nominal,9,1.000000,1.000000,1.000000,2251.907912,1000,False,True,65.176483,1.463487,64.883785
randomized,0,1.109569,0.769787,0.540974,2128.254458,1000,False,True,59.034543,0.775372,58.879469
randomized,1,0.613222,1.313270,1.412756,478.894225,259,True,False,11.661895,2.050857,11.251724
randomized,2,1.085309,1.229497,1.043625,959.355470,450,True,False,26.650238,2.057631,26.238712
randomized,3,1.348058,1.315854,0.502739,2170.272301,1000,False,True,61.099178,0.152045,61.068769
randomized,4,1.285923,0.533586,1.229655,2156.821022,1000,False,True,60.454485,-3.641142,59.726256
randomized,5,0.740524,1.363179,1.041461,1140.605335,530,True,False,31.923412,-2.498810,31.423650
randomized,6,0.839770,0.922687,0.528320,2245.012994,1000,False,True,64.839198,-2.442242,64.350750
randomized,7,0.699427,1.170624,1.147190,773.082965,349,True,False,22.113281,-2.559700,21.601341
randomized,8,1.092308,0.883678,1.497210,2172.696332,1000,False,True,61.244321,-3.032720,60.637777
randomized,9,1.384668,1.185542,1.150459,2133.246377,1000,False,True,59.267417,7.626605,57.742096
